课程名字,公告,公告描述,发布时间,状态
2020-2021-2142099913,未返校同学请尽快联系我,请发邮件给我：y-wj@h.ed.c.   我安排线上期中考试。,2021-04-07 14:37,0
2020-2021-2142099913,错过第1周课的同学注意,请仔细看第一章课件，尤其是课程要求部分（了解负责自己的助教是谁）。   第1次作业是：第一章练习题3 安装M (截图为证）。按时完成。   ,2021-02-27 22:52,0
2020-2021-2142099913,教材第1次印刷勘误,《数值分析与算法（第3版）》第1次印刷还存在一些错误。   请看看自己手头的书是第几次印刷的（看扉页版权信息），如果是第1次印刷的请根据附件的勘误表更正。   第2次印刷的就没有问题。,2021-02-25 08:59,0
2020-2021-2142099913,上课注意事项,1.本课程使用荷塘雨课堂进行互动与考察教学效果。   2.上课开始时，无论线上线下，同学们都需要用手机进入本课程的雨课堂，参与答题环节。   3.在教室上课同学，请注意不要看视频，以免人多影响网络带宽和老师的直播。   4.上课时准备纸笔在旁边，雨课堂的题目可能需要计算。   5.所有同学看雨课堂上的公告，扫描加入课程微信群。,2021-02-23 22:53,0
2020-2021-2142099913,上课准备,各位同学好！      1.没有安装M软件的同学，请参考附件安装M软件。建议安装最新版。   2.教材为喻文健编著的《数值分析与算法(第3版)》，请提前购买。   3.本课程采用线下+荷塘雨课堂的混合式教学，荷塘雨课堂将用于随堂做题，请所有同学都熟悉它的使用。,2021-02-20 08:52,0
2020-2021-2142100237,请无法参加线下期末考试的同学抓紧联系我,请无法返校（如留学生，由于疫情原因无法返校）、需要参见线上期末考试的同学尽快从微信群里加我的微信。   ,2021-05-18 17:08,0
2020-2021-2142100237,关于集群账号安全的强调,2021330 约 14:15，作业集群 cov0 节点遭到恶意扫描。由于某助教账号使用弱密码并且具有 do 权限，集群被成功侵入并且植入了挖矿程序。我们已经第一时间回滚了整个集群的状态，要求当事人修改复杂密码，并严格控制了集群的 do 权限。   同时，为了进一步保证安全，集群上配置了更严格的安全策略，任何用户三次 h 登陆失败均会被直接封禁 IP 10 分钟。   此外，种种迹象表明，此次攻击来自校内，并很可能由集群上的某个用户直接或间接、有意或无意导致。课程组再次重申，请勿将课程集群用作完成作业以外的用途，更不可试图对其进行攻击（无论是否意图牟利）。我们留存了完整的日志与硬盘镜像，并保留追究攻击者责任的权利。,2021-03-30 20:48,0
2020-2021-2142100237,作业收取和迟交处理方式,PA0 即将截止，提醒同学们将作业放置在规定的目录中，助教在截止时间后将立刻对所有人的 hoe 目录进行 ho，并收取对应的文件进行评分。如果因为目录格式不合格或其他任何原因导致未能被正常收取评分，请在成绩公布后向对应助教发送邮件说明情况，比如正确的文件路径或者正确运行方式。ro基本原则是：作业的评分基于且仅基于在进行 ho 的时刻存在于你的 hoe 目录中的文件（ho 的检索方式可以查阅集群使用文档或者咨询助教roro），其他任何情况一概不予作为正常提交接受，按照补交处理。ro      在作业截止后，不会再统一从集群上收取作业，也不再接受从网络学堂提交。请需要补交的同学请给作业文档中的负责助教发送邮件，包含你的代码和实验报告。补交时间以助教收到邮件的时间戳（UTC+8）为准。      经过课程组讨论，对于迟交作业，统一处理如下：       任何被认定为迟交的作业，最终评分至多为总分的 80%；    每多迟交一周，上述分数折合比例递减 5%，至多降低到 60%；    原则上期末考试后不接受补交作业。      也就是说，提交时间在 DDL 后 6 天 23:59:59 以内的作业，总分折合为原始分的 80%，7 天~13 天 23:59:59 以内的作业，折合为 75%，以此类推。,2021-03-15 22:00,0
2020-2021-2142100237,请线上上课的同学提前下载腾讯会议,对于无法返校或返校隔离的同学，可以使用腾讯会议在线听课。课前我们会在微信群里公布腾讯会议号和密码。,2021-02-19 15:05,0
2020-2021-2142100237,请加入课程微信群,请选课的同学扫描二维码，加入课程微信群。   请不要把二维码发送给其他未选课的同学。   加入群后请把群昵称修改为姓名+班级。,2021-02-17 12:57,0
2020-2021-2142100237,PA2 报告提交延期,根据课程组讨论，PA2 的报告提交时间延长到 430 23:59；代码收集时间不变，为 426 23:59。请所有已经完成代码编写但是没有完成测试的同学释放自己已经提交的作业，提供集群给尚未完成的同学。代码的晚交处理政策不变。,2021-04-26 20:30,0
2020-2021-2142100237,腾讯会议线上上课的同学请使用真实姓名,腾讯会议线上上课的同学务必使用真实姓名。   如果某次课堂签到，线上上课的同学若使用昵称而非真实姓名，可能被视为旷课。,2021-04-20 15:45,0
2020-2021-2142100237,PA2文档更新（放宽MPI加速比要求）,在rh里新增了500.rh。   在最终测试的时候，只要68.rh、200.rh和500.rh中 ye=qocoor:#c0392qo任意一个 ye=qocoor:#000000qoMPI加速比达到 ye=qocoor:#c0392qo1.1就可以了。报告可以选三个图中的任意一个来写报告。   已经完成作业并提交报告且原本加速比已经合格的同学理论上不需要做任何修改。,2021-04-15 15:26,0
2020-2021-2142100237,PA2 框架代码勘误,各位同学，PA2 的框架中，存在以下问题，目前已经修正：          运行脚本    r_f_.h 中，OeMP 的 CPU 核心绑定可能存在问题，导致性能受影响。注释 OMP_PROC_BIND 与 OMP_PLACES 环境变量即可修复问题。         你可以重新从作业目录复制这一文件，或者手工更新。本公告将持续更新。      ,2021-04-14 13:11,0
2020-2021-2142100237,实验二文档更新,由于我们发现部分同学对于实验二的评分标准存在误解，我们更新了实验二的文档。   主要更新内容如下：   对于 OeMP+MPI 程序， 如果在 68.rh 数据上 f_o_ 相对 f_o 的加速比 超过 $1.2$ （ ye=qocoor:#e74c3cqo注意是与你提交的使用 r_f_o.h 的 OeMP 版本相比）并且你的 OeMP 版本加速比合格，则加速比合格，否则加速比不合格。   ,2021-04-06 11:09,0
2020-2021-2142100237,PA1 框架代码勘误,各位同学，PA1 的框架中，存在以下问题，目前已经修正：      * worker.h 计算元素数量时对于 roc 不能整除  的情况有错（感谢任彦羽同学指出）。修正后的修改时间 316 19:58。   * Worker 类（包含 worker.h 和 worker.c）中未能处理超出数据范围的进程（感谢崔越同学指出）。目前此问题已经修复，并在类中增加了 o_of_re 和 _rk 两个 oo 值提供给同学们使用，表示当前 worker 处理的范围是否超出了输入规模（可以什么也不做）和是否为最后一个有实际工作的 rk。修正后的修改时间 317 21:38。      请各位已经开始做的同学重新从作业目录复制这些文件（小心不要覆盖自己的代码），并运行 ke ce 后重新编译。最终评测时，助教将使用最新的框架代码。      本公告可能持续更新。,2021-03-16 20:00,0
2020-2021-2142100237,课堂腾讯会议,师天麾 邀请您参加腾讯会议   会议主题：高性能计算导论2021   会议时间：202132 13:00-15:30   重复周期：每周(周二)      点击链接入会，或添加至会议列表：    href=qoh:ee.ece.coThGv1P1QXwqo re=qoofoowqoh:ee.ece.coThGv1P1QXw      会议 ID：801 4004 3233      手机一键拨号入会   +867553655000080140043233# (中国大陆)   +85230018898280140043233# (中国香港)      根据您的位置拨号   +8675536550000 (中国大陆)   +85230018898 (中国香港)      以上是我们以后每周的腾讯会议链接，无法来教室听课的同学请在上课时间在线上听讲。为了方便以后签到，请大家在腾讯会议中使用姓名+学号作为昵称。,2021-03-02 10:37,0
2020-2021-2142100238,期末考试-统计无法现场参加的同学,校历第13周星期一（20210517）会进行操作系统课期末考试。请无法返校参加期末考试的同学请将相关信息邮件发送给钮泽平(z20@.h.ed.c)   邮件格式：主题为dqo操作系统期末考试rdqo，正文为姓名，学号，dqo已将不能返校情况告知系教务rdqodqo未将不能返校情况告知系教务rdqo,2021-05-13 13:10,0
2020-2021-2142100238,期中考试成绩统计与查询的信息,,2021-04-18 18:34,0
2020-2021-2142100238,期中考试正式通知,请访问    href=qoh:wx.qq.coc-wewx-wewxcheckr?reqr=h%3A%2F%2Fo.c.h.ed.c%2Focore%2FOS2021r%2FMdExkey=%40cry_d011151_507289df9f59f7d57f31d050e08ddevced=e487026170035870_cke=Mx6We5hMq0E4MrMG2%252F%252FCoIFGcFXeAzRej2yhLN%252FKjSDzWCTM2WFDh9cG2fHocode=2cee=1ere=@f6417c5f22c2f9461745388ff8e9df78ff639074f9213f3e9dc6qo re=qoofoowqoh:o.c.h.ed.cocoreOS2021rMdEx   请相互转告并按时参加考试。,2021-04-06 23:06,0
2020-2021-2142100238,关于期中考试的通知,请大家访问如下网址了解关于期中考试的通知   h:o.c.h.ed.cocoreOS2021ro#A20210402-.2BUXNOjcfT2AA4vVdoSQGf-      请相互转告。,2021-04-02 21:34,0
2020-2021-2142100238,关于部分 lab 延期的通知,不少同学反馈  DDL 密集，完成压力大。综合考虑  难度和同学意见后，决定将 4、7 截止日期顺延一周 （最终 4、5、6 截止日期推迟一周，7 推迟两周）。   具体更新：   4: 3.29 - 4.5   5: 4.5 - 4.12   6: 4.12 - 4.19   7: 4.19 - 5.3,2021-03-27 12:38,0
2020-2021-2142100238,lab CI 上线通知,【腾讯文档】OS L 自动测试说明：h:doc.qq.codocDS0NHSE5QUdZdWVk   ,2021-03-21 20:04,0
2020-2021-2142100238,Ｃ文档和代码上线通知。,对标 R 实验的 C 实验代码和实验文档已经发布，请同学们注意这一变动，之前南开大学的实验仅为参考，以当前公布信息为准。对由文档开发滞后给大家带来的麻烦深表歉意。   实验文档与练习要求：h:h.codehWh5core-Tor-Book   实验代码：h:h.coDehWh5core-Tor   ,2021-02-25 16:38,0
2020-2021-2142100238,期末答疑通知,12周周六(5.15)习题课取消，改为当面答疑。12周周四到周日（5.13 ~ 5.16），晚 8:00 ~ 10:00，可以到东主楼 9-410 答疑。如有特殊原因无法按时来，也可以和 @zyr 私信确定答疑时间。,2021-05-13 15:18,0
2020-2021-2142100238,第二十一讲上课通知,2021年05月13日（第十二周星期四）的操作系统课是第二十一讲，由李国良老师讲dqo数据库操作系统rdqo，原来的两个班合并到一起上课，地点是五教5203，时间是周四第1大节(8:00~9:35)，腾讯会议的访问信息如下。         href=qoh:o.c.h.ed.cocoreOS2021recre02#A2021.2BZVkzU9cfP.2B34v.2B.28.2BZh9H1.29-.2BkhHQ-qo re=qoofoowqo陈渝预定的会议(周四)       由于上课地点与通常星期四的安排不同，提醒同学们注意。特此通知。   详见： href=qoh:o.c.h.ed.cocoreOS2021ro#A20210511-.2BeyxOjFNBTCLk4K.2F6QGf-qo re=qoofoowqo20210511-第二十一讲上课通知,2021-05-11 18:46,0
2020-2021-2142100238,2021年春季学期操作系统课期末考试安排,参加考试的学生范围：申请清华大学学分的所有同学；r 考试注意事项：r   请携带学生证参加考试；r   考试只需要一支钢笔或圆珠笔，不允许使用计算器和手机等电子设备，允许使用改正带等涂改工具；r   考场安排：r     建筑馆报告厅（学号范围：2015011298 -- 2018011339）r     六教6C300教室（学号范围：2018011340 -- 2021403021）   时间：第13周周一（2021-05-17）上午 09:50 -- 11:50r 考试地点：r   线下考场：建筑馆报告厅和六教6C300教室r   线上考场：只有已报系教务批准的两位同学参加线上考试。线上考试的流程单独约定。   祥见： href=qoh:o.c.h.ed.cocoreOS2021rFEx#A20210511-2021.2BXRJVjW2ZH2TNT1x8.2B37f.2F5H2crAOL1VJY5I-qo re=qoofoowqo20210511-2021年春季学期操作系统课期末考试安排,2021-05-11 18:21,0
2020-2021-2142100238,参考书籍,参考教材： Oer Sye: Three Ey Pece 中文版： 操作系统导论   英文版 h:e.c.wc.ed~rezOSTEP?orce=echore.orr  中文版 h:h.corez-rcdeoe-roreeerchee   大家可根据各自情况选择阅读。,2021-05-08 20:34,0
2020-2021-2142100238,第十九讲上课通知,依据学校的调课安排，2021年05月06日（第十一周星期四）的操作系统课上课时间是上午第2大节(9:50~11:25)，地点是六教6A214（向勇、李国良）和五教5105（陈渝），腾讯会议的访问信息如下。         href=qoh:o.c.h.ed.cocoreOS2021recre01#A.2BX6Lr0865WOS-qo re=qoofoowqo腾讯会议安排       由于上课时间与通常星期四的安排不同，提醒同学们注意。   相同通知也可在wk上的 href=qoh:o.c.h.ed.cocoreOS2021ro#A20210505-.2BeyxTQU5d7JOCov.2BkB35Q-qo re=qoofoowqodqo操作系统课通知rdqo页面上看到。,2021-05-05 22:01,0
2020-2021-2142100238,lab7 延期通知,为了让同学们更好地享受假期，更好地完成实验，7 dd 推迟到 5.6 晚 23:59 （下周四）。,2021-04-29 15:59,0
2020-2021-2142100238,W7习题课,石墨地址：h:ho.docJyjYwkhGhyGGCw   不完整录屏地址：h:cod.h.ed.cf49f38c691c434681    见附件   单节点有风险，冗余备份保平安。。。。。,2021-04-10 22:01,0
2020-2021-2142100238,lab5 截至时间推迟,5 截止时间推迟 1 周，与 6 一起提交。注意 67 截至时间不变，请同学们合理规划时间。   5 dd: 4.12 - 4.19.,2021-04-09 19:50,0
2020-2021-2142100238,W6习题课,石墨文档地址：h:ho.docJyjYwkhGhyGGCw,2021-04-08 19:37,0
2020-2021-2142100238,OJ 上线,h:ooj.dck.c,2021-04-08 14:23,0
2020-2021-2142100238,lab2 申诉,h:doc.qq.coheeDZWTSWhhRWZZW5X?=BB08J2   请同学们检查自己的分数。评语格式：报告评语 + 报告得分 + 代码运行得分。申诉请填写如上文档，请勿直接私信助教。,2021-03-31 21:57,0
2020-2021-2142100238,期中考试-统计无法返校参加的同学,    校历第八周星期一（20210412）会进行操作系统课期中考试。请无法返校参加期中考试的同学请将相关信息邮件发送给钮泽平(z20@.h.ed.c)             邮件格式：主题为dqo操作系统期中考试rdqo，正文为姓名，学号，dqo已将不能返校情况告知系教务rdqodqo未将不能返校情况告知系教务rdqo   ,2021-03-29 21:31,0
2020-2021-2142100238,W5 习题课视频,如题。,2021-03-28 20:18,0
2020-2021-2142100238,第五周课程设计交流安排,请目前仍然在准备做操作系统课程设计的同学于周一（3月22日）上午课后到dqo六教6A214rdqo教室，参加课程设计(大实验)讨论。讨论内容如下。   1. 操作系统课小实验进展情况和反馈意见；   2. 确定继续做课程设计的同学名单；   3. 没有确定课程设计选题的同学，确定选题；   4. 其他同学们有兴趣的内容；      详见 href=qoh:o.c.h.ed.cocoreOS2021recre09#A.2BeyxOFRo.2F56C4.2B6FOG1BW4jk-qo re=qoofoowqo链接。,2021-03-22 08:48,0
2020-2021-2142100238,W4习题课PPT视频,查看附件,2021-03-21 18:10,0
2020-2021-2142100238,完成lab6并想做大实验的同学请在周一（3月22日）OS课第三节在向老师上课教室进行交流,RT,2021-03-21 14:38,0
2020-2021-2142100238,第四周周六习题课,3.20（第四周周六）晚 7:30 在 6B105 会有一个针对  的习题课。希望感兴趣的同学参加。,2021-03-19 14:49,0
2020-2021-2142100238,lab1 申诉,1 成绩已经上传，由于不可避免会出现文档操作失误等，请各位及时确认自己的成绩是否符合，并抓紧申诉。可以直接私信张译仁或者发送邮件，注意不要再大群中申诉。请着重确认分支命名和报告命名。r 批改说明：考虑到 1 大家各种不熟悉，接受了一些迟交很多天的补交，考虑到对于及时提交的同学不很公平，只要完成功能并完成报告，分数不会低于 8。很多人会发现分数高于预期，这是仅有一次的福利。r 其他：   1. 发现很多同学 d 格式错误，导致图片无法加载，从 3 开始这种现象将直接视作没有图片，请同学们一定注意 d 引用格式。   2. 从 2 开始不再接受 dqo没有 hrdqoqo格式错误要重交qo 这种理由。,2021-03-18 10:29,0
2020-2021-2142100238,3.13 习题课,3.13（第三周周六）晚 7:30 在 6A205 会有一个针对  的习题课。希望感兴趣的同学参加。,2021-03-12 23:16,0
2020-2021-2142100238,实验QA腾讯文档,早就该有的 QA 文档终于上线了，希望大家碰到问题可以在这里先浏览，如果碰到问题也可以在这里提出。   地址:   h:doc.qq.codocDS0xWU5zUJoeB0   ,2021-03-11 16:54,0
2020-2021-2142100238,请填写&ldquo;前期OS课的反馈问卷&rdquo;,请大家抽空填写一下 dqo前期OS课的反馈问卷rdqo       href=qoh:www.wjx.cvjwFCJDHU.xqo re=qoofoowqoh:www.wjx.cvjwFCJDHU.x      谢谢！,2021-03-09 22:12,0
2020-2021-2142100238,请在网络学堂上注册的同学补全个人信息,需要补充信息的同学学号名单请看下面链接。请这些同学尽快补上。      h:o.c.h.ed.cocoreOS2021ro#A20210304-.2B.2FdXKH9RfxZCT6FGMdoRUDFGVRE4qTrP4WBv-,2021-03-04 12:33,0
2020-2021-2142100869,关于4月6日课程内容的重要通知,ro   关于4月6日只要课程的通知ro      4月6日第7次课程，将讲授B样条曲线曲面的内容，是大作业中会用到的知识。      这次课程的内容，是计算机图形学课程中最难的一次，比较难于掌握，望同学们不要缺课，不要寄希望于自学。      特此通知，谢谢大家！      胡事民      ,2021-04-05 22:38,0
2020-2021-2142100869,习题课通知,各位同学：      本周日（3月21日）晚7:20我们安排一次习题课，地点仍在一教201，主要讲PA1和大作业的有关要求。   习题课的PPT和录像之后会上传到网络学堂。,2021-03-19 14:21,0
2020-2021-2142100869,课程微信群,各位同学：      大家可扫描附件中的二维码进入本课程微信群，以便及时进行交流讨论。,2021-02-23 10:33,0
2020-2021-2142100869,关于第一次课程的通知,欢迎各位同学选修《高等计算机图形学》课程。周一第一次课的内容是图形学绪论，介绍图形学的历史、基础、研究前沿和应用，并说明课程编程作业和大作业及考核的安排。按学校要求，课程将会同时采用雨课堂+腾讯会议的方式，雨课堂用于课堂提问和做题。   感谢各位同学！      会议主题：计算机图形学基础r    会议时间：20210223 07:30-10:00 (GMT+08:00) 中国标准时间 - 北京r    重复周期：每周 (周二)   点击链接入会，或添加至会议列表：r    h:ee.ece.coQVIfkQIF28   会议 ID：957 3075 0676r ,2021-02-22 19:53,0
2020-2021-2142100869,第二次习题课,各位同学：   第二次习题课今晚19:20在五教5101上，请周知。,2021-04-29 08:55,0
